window_idx,measurement_idx,measurement_value
30,18,-0.243000
30,19,-0.508000
30,20,-0.331000
30,21,-1.260000
30,22,0.597000
30,23,0.199000
30,24,0.287000
30,25,0.155000
30,26,0.243000
30,27,0.685000
30,28,-0.110000
30,29,-0.773000
30,30,0.022000
30,31,-0.243000
31,0,-0.000000
31,1,0.619000
31,2,-0.309000
31,3,0.354000
31,4,-1.812000
31,5,0.044000
31,6,0.177000
31,7,-0.619000
31,8,-9.369000
31,9,-0.221000
31,10,-0.663000
31,11,-0.530000
31,12,0.575000
31,13,0.486000
31,14,-0.442000
31,15,0.619000
31,16,0.354000
31,17,0.221000
31,18,0.221000
31,19,0.619000
31,20,-0.398000
31,21,-0.663000
31,22,-0.398000
31,23,0.177000
31,24,0.133000
31,25,-1.105000
31,26,-0.354000
31,27,-0.354000
31,28,0.398000
31,29,1.105000
31,30,0.398000
31,31,-0.265000
32,0,-0.000000
32,1,0.155000
32,2,0.597000
32,3,0.464000
32,4,-2.497000
32,5,-0.464000
32,6,-0.022000
32,7,0.155000
32,8,-11.645000
32,9,-0.243000
32,10,-3.558000
32,11,-0.287000
32,12,0.773000
32,13,-0.066000
32,14,0.022000
32,15,0.022000
32,16,-0.287000
32,17,-2.453000
32,18,-0.243000
32,19,-0.420000
32,20,0.287000
32,21,0.597000
32,22,-0.022000
32,23,0.022000
32,24,0.287000
32,25,0.862000
32,26,1.304000
32,27,-0.022000
32,28,-0.287000
32,29,-0.508000
32,30,-0.597000
32,31,-0.155000
33,0,0.000000
33,1,-0.133000
33,2,-0.398000
33,3,-0.044000
33,4,0.177000
33,5,0.663000
33,6,-0.795000
33,7,-0.486000
33,8,-4.508000
33,9,-0.398000
33,10,-3.005000
33,11,0.486000
33,12,0.088000
33,13,-0.398000
33,14,0.530000
33,15,0.133000
33,16,0.398000
33,17,1.591000
33,18,0.309000
33,19,0.309000
33,20,0.707000
33,21,0.884000
33,22,-0.221000
33,23,-0.751000
33,24,-0.309000
33,25,0.442000
33,26,0.309000
33,27,0.398000
33,28,-0.972000
33,29,-0.884000
33,30,-0.221000
33,31,0.221000
34,0,-0.000000
34,1,-0.884000
34,2,0.221000
34,3,-0.133000
34,4,0.840000
34,5,-0.530000
34,6,0.619000
34,7,0.221000
34,8,6.497000
34,9,-0.044000
34,10,-4.950000
34,11,-0.088000
34,12,-1.105000
34,13,0.177000
34,14,-0.354000
34,15,0.133000
34,16,-0.575000
34,17,2.519000
34,18,-0.707000
34,19,-0.398000
34,20,-0.442000
34,21,0.177000
34,22,-0.663000
34,23,0.309000
34,24,0.530000
34,25,-1.193000
34,26,-0.309000
34,27,-0.000000
34,28,0.707000
34,29,1.768000
34,30,1.282000
34,31,-0.088000
35,0,-0.000000
35,1,0.663000
35,2,0.398000
35,3,0.840000
35,4,-1.724000
35,5,-0.221000
35,6,-0.663000
35,7,-0.133000
35,8,3.315000
35,9,0.309000
35,10,-2.077000
35,11,0.044000
35,12,-1.900000
35,13,-0.044000
35,14,0.221000
35,15,-0.133000
35,16,0.486000
35,17,-1.635000
35,18,0.751000
35,19,-0.486000
35,20,-0.840000
35,21,-1.282000
35,22,0.309000
35,23,0.221000
35,24,-0.044000
35,25,-2.431000
35,26,-0.398000
35,27,0.044000
35,28,-0.309000
35,29,0.133000
35,30,0.309000
35,31,0.221000
36,0,0.000000
36,1,0.486000
36,2,0.044000
36,3,0.265000
36,4,-0.619000
36,5,0.044000
36,6,0.707000
36,7,-0.133000
36,8,1.061000
36,9,0.486000
36,10,-1.105000
36,11,-0.354000
36,12,-2.254000
36,13,0.221000
36,14,-0.265000
36,15,-0.133000
36,16,-0.044000
36,17,-0.663000
36,18,0.000000
36,19,0.619000
36,20,0.133000
36,21,0.795000
36,22,-0.133000
36,23,-0.663000
36,24,-0.133000
36,25,1.635000
36,26,0.530000
36,27,-0.177000
36,28,0.928000
36,29,1.061000
36,30,-0.309000
36,31,-0.575000
37,0,0.000000
37,1,0.221000
37,2,0.000000
37,3,0.088000
37,4,0.442000
37,5,0.044000
37,6,-0.928000
37,7,0.177000
37,8,-9.458000
37,9,0.088000
37,10,0.575000
37,11,-0.575000
37,12,-0.177000
37,13,0.486000
37,14,-1.724000
37,15,-0.088000
37,16,-0.442000
37,17,-1.061000
37,18,-0.133000
37,19,-0.884000
37,20,0.133000
37,21,-0.663000
37,22,-0.177000
37,23,0.354000
37,24,-0.309000
37,25,0.265000
37,26,-0.265000
37,27,-0.044000
37,28,-0.309000
37,29,-1.105000
37,30,-0.265000
37,31,-0.398000
38,0,-0.000000
38,1,0.309000
38,2,-0.000000
38,3,0.575000
38,4,-3.359000
38,5,0.000000
38,6,-0.486000
38,7,-0.221000
38,8,-5.259000
38,9,-0.177000
38,10,-3.889000
38,11,-0.133000
38,12,1.414000
38,13,-0.619000
38,14,1.105000
38,15,-0.044000
38,16,0.177000
38,17,0.309000
38,18,0.309000
38,19,-0.177000
38,20,-0.221000
38,21,0.398000
38,22,-0.575000
38,23,-0.265000
38,24,0.221000
38,25,0.398000
38,26,0.177000
38,27,-0.000000
38,28,0.309000
38,29,-0.751000
38,30,0.221000
38,31,0.088000
39,0,0.000000
39,1,-0.309000
39,2,-0.177000
39,3,-0.751000
39,4,0.972000
39,5,-0.751000
39,6,1.547000
39,7,0.088000
39,8,5.966000
39,9,-0.221000
39,10,-1.547000
39,11,0.398000
39,12,-0.795000
39,13,-0.265000
39,14,0.088000
39,15,0.133000
39,16,0.619000
39,17,-0.928000
39,18,0.530000
39,19,-0.221000
39,20,0.354000
39,21,0.840000
39,22,-0.265000
39,23,-0.575000
39,24,0.088000
39,25,0.619000
39,26,-0.088000
39,27,-0.044000
39,28,0.486000
39,29,1.061000
39,30,-0.840000
39,31,0.530000
40,0,0.000000
40,1,-0.133000
40,2,0.354000
40,3,0.309000
40,4,-1.768000
40,5,0.265000
40,6,0.221000
40,7,-0.133000
40,8,4.861000
40,9,0.398000
40,10,2.607000
40,11,0.265000
40,12,-1.193000
40,13,-0.309000
40,14,-0.000000
40,15,-0.530000
40,16,-0.221000
40,17,1.237000
40,18,-0.177000
40,19,0.221000
40,20,0.530000
40,21,0.530000
40,22,0.000000
40,23,-0.530000
40,24,0.133000
40,25,1.282000
40,26,-0.619000
40,27,-0.088000
40,28,-0.751000
40,29,-0.575000
40,30,-0.044000
40,31,0.265000
41,0,-0.000000
41,1,-0.199000
41,2,0.243000
41,3,-0.066000
41,4,0.287000
41,5,0.331000
41,6,0.022000
41,7,-0.199000
41,8,6.740000
41,9,-0.376000
41,10,3.513000
41,11,0.906000
41,12,-0.641000
41,13,0.155000
41,14,-0.155000
41,15,-0.022000
41,16,0.022000
41,17,-0.773000
41,18,0.862000
41,19,-0.641000
41,20,0.994000
41,21,2.188000
41,22,0.110000
41,23,-0.155000
41,24,-0.331000
41,25,0.464000
41,26,-0.110000
41,27,-0.199000
41,28,0.729000
41,29,2.099000
41,30,-0.155000
41,31,0.110000
42,0,-0.000000
42,1,-0.685000
42,2,-0.022000
42,3,0.110000
42,4,-0.243000
42,5,0.552000
42,6,-1.525000
42,7,0.155000
42,8,4.972000
42,9,0.155000
42,10,1.613000
42,11,-0.110000
42,12,-0.022000
42,13,0.552000
42,14,-1.613000
42,15,-0.022000
42,16,-0.243000
42,17,-0.243000
42,18,0.376000
42,19,-0.464000
42,20,0.597000
42,21,-0.331000
42,22,0.199000
42,23,-0.066000
42,24,-0.376000
42,25,0.552000
42,26,0.066000
42,27,-0.243000
42,28,0.155000
42,29,0.994000
42,30,0.199000
42,31,-0.110000
43,0,-0.000000
43,1,-0.707000
43,2,-0.309000
43,3,-0.177000
43,4,1.193000
43,5,0.088000
43,6,-0.088000
43,7,0.044000
43,8,-0.442000
43,9,-0.177000
43,10,2.210000
43,11,-0.177000
43,12,0.309000
43,13,-0.221000
43,14,0.486000
43,15,-0.088000
43,16,0.133000
43,17,-0.442000
43,18,-0.221000
43,19,0.354000
43,20,0.309000
43,21,0.707000
43,22,-0.398000
43,23,-0.354000
43,24,0.044000
43,25,0.575000
43,26,0.309000
43,27,-0.354000
43,28,0.177000
43,29,1.193000
43,30,-0.088000
43,31,0.398000
44,0,-0.000000
44,1,-0.508000
44,2,-0.597000
44,3,-0.862000
44,4,2.099000
44,5,0.199000
44,6,0.331000
44,7,0.464000
44,8,-1.569000
44,9,0.066000
44,10,2.939000
44,11,0.243000
44,12,1.083000
44,13,-0.022000
44,14,-0.773000
44,15,0.597000
44,16,-0.066000
44,17,0.773000
44,18,-0.243000
44,19,0.729000
44,20,0.243000
44,21,1.215000
44,22,0.022000
44,23,0.066000
44,24,-0.022000
44,25,0.906000
44,26,-0.022000
44,27,-0.022000
44,28,-0.155000
44,29,0.464000
44,30,-0.199000
44,31,0.066000
45,0,0.000000
45,1,-0.287000
45,2,-0.243000
45,3,-0.420000
45,4,1.348000
45,5,0.331000
45,6,-0.022000
45,7,0.729000
45,8,-4.662000
45,9,0.022000
45,10,1.657000
45,11,0.155000
45,12,0.376000
45,13,0.155000
45,14,-0.110000
45,15,0.287000
45,16,0.287000
45,17,-2.099000
45,18,0.243000
45,19,0.199000
45,20,0.155000
45,21,-1.171000
45,22,-0.243000
45,23,0.464000
45,24,0.066000
45,25,-1.392000
45,26,-0.243000
45,27,0.155000
45,28,-0.110000
45,29,-0.818000
45,30,-0.243000
45,31,-0.110000
46,0,0.000000
46,1,-0.155000
46,2,-0.376000
46,3,-0.862000
46,4,1.348000
46,5,-0.287000
46,6,0.773000
46,7,0.199000
46,8,-2.895000
46,9,0.464000
46,10,2.630000
46,11,0.243000
46,12,0.862000
46,13,0.199000
46,14,-0.066000
46,15,0.066000
46,16,-0.066000
46,17,0.818000
46,18,0.066000
46,19,0.110000
46,20,-0.331000
46,21,-0.597000
46,22,0.155000
46,23,0.862000
46,24,-0.597000
