node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
2,1,4,5,0,baseline_direct,-45,-55,DIRECT,240000,ppg
3,1,4,5,0,baseline_direct,-47,-54,DIRECT,240000,gateway
1,1,4,5,0,baseline_direct,-45,-59,DIRECT,240000,imu
2,1,4,5,1,forced_relay,-81,-43,RELAY,260000,ppg
3,1,4,5,1,forced_relay,-81,-40,RELAY,260035,gateway
1,1,4,5,1,forced_relay,-79,-45,RELAY,260000,imu
2,1,4,5,2,relay_hold,-89,-38,RELAY,280000,ppg
3,1,4,5,2,relay_hold,-87,-38,RELAY,280000,gateway
1,1,4,5,2,relay_hold,-86,-38,RELAY,280000,imu
2,1,4,5,3,direct_recovery,-51,-64,DIRECT,300000,ppg
3,1,4,5,3,direct_recovery,-49,-62,DIRECT,300000,gateway
1,1,4,5,3,direct_recovery,-86,-38,DIRECT,300000,imu
2,1,5,5,0,baseline_direct,-48,-56,DIRECT,320000,ppg
3,1,5,5,0,baseline_direct,-45,-55,DIRECT,320000,gateway
1,1,5,5,0,baseline_direct,-50,-57,DIRECT,320000,imu
2,1,5,5,1,forced_relay,-82,-41,RELAY,340000,ppg
3,1,5,5,1,forced_relay,-83,-42,RELAY,340000,gateway
1,1,5,5,1,forced_relay,-83,-42,RELAY,340000,imu
2,1,5,5,2,relay_hold,-89,-43,RELAY,360000,ppg
3,1,5,5,2,relay_hold,-88,-39,RELAY,360000,gateway
1,1,5,5,2,relay_hold,-84,-38,RELAY,360000,imu
2,1,5,5,3,direct_recovery,-51,-59,DIRECT,380000,ppg
3,1,5,5,3,direct_recovery,-50,-62,DIRECT,380000,gateway
1,1,5,5,3,direct_recovery,-49,-61,DIRECT,380000,imu
1,1,6,5,0,baseline_direct,-46,-53,DIRECT,400000,imu
2,1,6,5,0,baseline_direct,-47,-58,DIRECT,401000,ppg
3,1,6,5,0,baseline_direct,-48,-58,DIRECT,401000,gateway
2,1,6,5,1,forced_relay,-81,-41,RELAY,420011,ppg
3,1,6,5,1,forced_relay,-84,-41,RELAY,420011,gateway
1,1,6,5,1,forced_relay,-81,-46,RELAY,420010,imu
