window_idx,axis,measurement_idx,measurement_value
6,az,3,0.026000
6,az,4,-0.008000
6,az,5,-0.004000
6,az,6,-0.047000
6,az,7,0.042000
6,az,8,-0.235000
6,az,9,0.019000
6,az,10,0.005000
6,az,11,0.000000
6,az,12,0.011000
6,az,13,-0.021000
6,az,14,0.010000
6,az,15,-0.003000
6,az,16,0.016000
6,az,17,0.010000
6,az,18,-0.005000
6,az,19,-0.001000
6,az,20,-0.004000
6,az,21,0.027000
6,az,22,-0.002000
6,az,23,-0.005000
6,az,24,-0.005000
6,az,25,-0.051000
6,az,26,-0.009000
6,az,27,-0.025000
6,az,28,0.012000
6,az,29,0.002000
6,az,30,0.012000
6,az,31,-0.014000
6,gx,0,0.000000
6,gx,1,0.280000
6,gx,2,-0.004000
6,gx,3,0.106000
6,gx,4,-0.134000
6,gx,5,0.466000
6,gx,6,-1.057000
6,gx,7,0.083000
6,gx,8,-2.692000
6,gx,9,0.090000
6,gx,10,-0.984000
6,gx,11,-0.434000
6,gx,12,-0.099000
6,gx,13,0.021000
6,gx,14,-0.042000
6,gx,15,-0.191000
6,gx,16,0.001000
6,gx,17,0.183000
6,gx,18,0.616000
6,gx,19,0.081000
6,gx,20,-0.026000
6,gx,21,-0.451000
6,gx,22,0.026000
6,gx,23,-0.020000
6,gx,24,0.033000
6,gx,25,0.122000
6,gx,26,-0.012000
6,gx,27,-0.023000
6,gx,28,0.154000
6,gx,29,-0.658000
6,gx,30,0.283000
6,gx,31,-0.342000
6,gy,0,-0.000000
6,gy,1,0.203000
6,gy,2,0.118000
6,gy,3,-0.198000
6,gy,4,2.130000
6,gy,5,-0.637000
6,gy,6,1.378000
6,gy,7,0.601000
6,gy,8,-2.877000
6,gy,9,0.098000
6,gy,10,1.145000
6,gy,11,0.518000
6,gy,12,0.179000
6,gy,13,-0.353000
6,gy,14,0.681000
6,gy,15,-0.009000
6,gy,16,-0.197000
6,gy,17,1.140000
6,gy,18,-0.412000
6,gy,19,0.111000
6,gy,20,-0.694000
6,gy,21,-1.297000
6,gy,22,0.082000
6,gy,23,-0.051000
6,gy,24,0.189000
6,gy,25,0.478000
6,gy,26,0.143000
6,gy,27,-0.268000
6,gy,28,0.544000
6,gy,29,1.196000
6,gy,30,0.148000
6,gy,31,0.041000
6,gz,0,0.000000
6,gz,1,0.552000
6,gz,2,-0.219000
6,gz,3,-0.499000
6,gz,4,2.138000
6,gz,5,1.692000
